Attack_Type,Model,Precision,Recall,F1_Score,AUC,Inference_Time
DoS,OneClassSVM,0.7989773090444231,1.0,0.8882572392965002,1.0,16.62247586250305
DoS,LOF,0.8186655751125665,1.0,0.9002925950934053,1.0,5.842999219894409
DoS,DBSCAN,0.2849643794525684,0.228,0.25331926004110883,0.49958,0.0010476112365722656
DoS,EllipticEnvelope,0.7999360051195904,1.0,0.8888493844718013,1.0,0.005002260208129883
Fuzzy,OneClassSVM,0.7967032967032966,0.986,0.8813013943510905,0.9911073480000001,18.55573606491089
Fuzzy,LOF,0.8182638660978011,0.9973,0.8989543897602308,0.9986252480000001,5.296537399291992
Fuzzy,DBSCAN,0.2849643794525684,0.228,0.25331926004110883,0.49958,0.001804351806640625
Fuzzy,EllipticEnvelope,0.7992615779757605,0.9958,0.8867714501981389,0.997108348,0.005005836486816406
Gear,OneClassSVM,0.7989773090444231,1.0,0.8882572392965002,1.0,24.505902528762817
Gear,LOF,0.8186655751125665,1.0,0.9002925950934053,1.0,6.529618263244629
Gear,DBSCAN,0.2849643794525684,0.228,0.25331926004110883,0.49958,0.0002129077911376953
Gear,EllipticEnvelope,0.7999360051195904,1.0,0.8888493844718013,0.99912,0.004002571105957031
RPM,OneClassSVM,0.7886069568139809,0.9386,0.8570906766505342,0.9603170759999999,20.322970151901245
RPM,LOF,0.8185318695723415,0.9991,0.8998468882284067,0.999531032,5.322122097015381
RPM,DBSCAN,0.2849643794525684,0.228,0.25331926004110883,0.49958,0.001024484634399414
RPM,EllipticEnvelope,0.7928778467908902,0.9574,0.8674065685164213,0.9873855600000001,0.005007028579711914
